"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-26","62","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-27","65","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-28","63","74","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-29","63","72","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-30","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-07-31","64","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-01","64","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-02","65","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-03","60","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-04","60","68","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-05","61","68","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-06","63","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-07","62","75","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-08","63","74","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-09","63","75","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-10","64","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-11","62","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-12","63","71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-13","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-14","63","70","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-15","63","71","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-16","63","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-17","65","76","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-18","64","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-19","65","73","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-20","64","73","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-21","64","71","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-22","63","73","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-23","62","73","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-24","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-25","62","69","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-26","62","77","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-27","67","88","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-28","70","89","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-29","66","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-30","62","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-08-31","63","74","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-01","62","71","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-02","61","69","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-03","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-04","60","73","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-05","60","78","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-06","63","82","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-07","65","75","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-08","65","75","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-09","62","69","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-10","62","68","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-11","62","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-12","62","75","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-13","63","72","58"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-14","61","72","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-15","61","70","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-16","60","68","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-17","61","70","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-18","62","71","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-19","65","71","60"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-20","66","86","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-21","73","90","62"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-22","69","73","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-23","61","82","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-24","62","72","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-25","61","67","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-26","61","66","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-27","63","72","59"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2021-09-28","63","71","57"
